pop_ind,+[MMarrived 1 *],-[HHaccidents],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,0.845080661698,0.0,0.00307241865574,645,0,21/50,9/50
1,0.848323782377,0.00269541778976,0.00444901957025,741,0,28/50,1/50
2,0.799626274602,0.0,0.00374548194451,565,0,24/50,1/50
3,0.844136710899,0.00212539851222,0.00340962182863,573,0,24/50,1/50
4,0.800723066451,0.0016,0.00344843587688,755,0,24/50,0/50
5,0.839424830783,0.00153139356815,0.00456860178419,783,1,29/50,3/50
6,0.809523037919,0.00166112956811,0.0056147414131,677,1,34/50,0/50
7,0.802765406083,0.00160642570281,0.00650593435819,715,1,36/50,0/50
8,0.809453279335,0.00164744645799,0.00590327240923,749,1,35/50,0/50
9,0.792556124559,0.0,0.00410520365359,629,1,26/50,1/50
10,0.829027919685,0.00216919739696,0.00395824190796,719,2,25/50,1/50
11,0.816089802375,0.00163132137031,0.00660642335127,791,2,37/50,0/50
12,0.806093544904,0.0021436227224,0.00775274866167,649,2,38/50,0/50
13,0.81842488574,0.00269905533063,0.00578701137738,359,2,35/50,1/50
14,0.758626143175,0.00164203612479,0.00563427118841,205,2,34/50,0/50
15,0.759533474632,0.0015600624025,0.00815761361131,305,2,38/50,0/50
16,0.787386861457,0.00168634064081,0.00801152817815,537,2,40/50,0/50
17,0.756666345987,0.00276243093923,0.00527153042245,545,2,32/50,0/50
18,0.700226825601,0.0,0.0122193333699,549,2,43/50,0/50
19,0.786011287207,0.00157853196527,0.00635323230709,627,2,33/50,0/50
20,0.790992107088,0.00322061191626,0.00513505938804,635,3,31/50,0/50
21,0.787163501482,0.00221238938053,0.00555623362548,699,3,33/50,0/50
22,0.757844084276,0.00160642570281,0.00627905426135,765,3,35/50,0/50
23,0.792222292125,0.00541271989175,0.00839080155642,371,3,43/50,0/50
24,0.787470070825,0.00320512820513,0.00689290138084,605,3,37/50,0/50
25,0.775899384616,0.00278551532033,0.00610762184268,461,4,35/50,0/50
26,0.765148822954,0.0016,0.00899524755454,293,4,43/50,0/50
27,0.788092916476,0.00322061191626,0.00635455522685,511,4,35/50,0/50
28,0.788332702251,0.00454545454545,0.00630460642902,517,4,35/50,0/50
29,0.750560385385,0.00165425971878,0.00706772607514,525,4,37/50,0/50
30,0.755191244881,0.00157356412274,0.00896806880478,633,4,40/50,0/50
31,0.761997148824,0.00162866449511,0.00831017195041,669,4,42/50,0/50
32,0.76349768294,0.00216919739696,0.00837527194912,709,4,43/50,0/50
33,0.790186373312,0.00306278713629,0.00756757014921,761,4,37/50,0/50
34,0.782866973218,0.00162733930024,0.00878383843112,779,4,43/50,0/50
35,0.801360999537,0.00219298245614,0.00866993603589,787,4,44/50,0/50
36,0.778987279195,0.00217391304348,0.00701249617907,803,4,37/50,0/50
37,0.768654671583,0.00258397932817,0.00580896027119,805,4,35/50,0/50
38,0.768488310946,0.0027397260274,0.0067476844607,531,4,37/50,0/50
39,0.761085293524,0.00266666666667,0.00700153290595,681,4,37/50,0/50
40,0.750565053251,0.00157853196527,0.012077078891,329,4,43/50,0/50
41,0.745673455252,0.00208768267223,0.00790868305967,449,4,39/50,0/50
42,0.711238295058,0.00221483942414,0.00785682947886,471,4,39/50,0/50
43,0.770383522472,0.00325732899023,0.0103529455929,243,4,47/50,0/50
44,0.748485425381,0.00161160354553,0.0103019051,743,4,45/50,0/50
45,0.78414616555,0.00326264274062,0.0104087177359,769,5,47/50,0/50
46,0.7656579168,0.00284495021337,0.00660127402499,797,5,37/50,0/50
47,0.730698301235,0.00422832980973,0.00713514581151,553,5,37/50,0/50
48,0.764403725838,0.00312012480499,0.00955042412651,563,5,45/50,0/50
49,0.745697398738,0.00470219435737,0.00717780685639,757,5,37/50,0/50
