pop_ind,+[MMarrived 1 *],-[HHaccidents],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,0.758626143175,0.00164203612479,0.00563427118841,205,0,34/50,0/50
1,0.770383522472,0.00325732899023,0.0103529455929,243,0,47/50,0/50
2,0.765148822954,0.0016,0.00899524755454,293,0,43/50,0/50
3,0.66606948681,0.00161812297735,0.0179511534087,47,0,47/50,0/50
4,0.678961123012,0.00221729490022,0.0103892625016,173,0,46/50,0/50
5,0.650580377112,0.00209863588667,0.0116256016392,239,1,48/50,0/50
6,0.725585821574,0.00278551532033,0.00774354882031,245,1,38/50,0/50
7,0.707382307196,0.0027027027027,0.0150011270137,267,1,49/50,0/50
8,0.621312441859,0.00160384923817,0.0140208011865,277,1,47/50,0/50
9,0.704133315014,0.00274725274725,0.00898901604255,279,1,44/50,0/50
10,0.690956021679,0.00219298245614,0.0123213102948,281,2,48/50,0/50
11,0.655248775436,0.0016339869281,0.0128063483558,289,2,48/50,0/50
12,0.611230357529,0.00162733930024,0.0155705462886,197,2,47/50,0/50
13,0.643998092322,0.00206611570248,0.0166128135159,209,2,49/50,0/50
14,0.685682798476,0.00489396411093,0.0096037966422,107,2,45/50,0/50
15,0.697140654195,0.00324675324675,0.016859293167,109,2,50/50,0/50
16,0.687868867671,0.00328407224959,0.0106916268527,129,2,48/50,0/50
17,0.68381867788,0.00280112044818,0.0129769155849,251,2,49/50,0/50
18,0.677082519912,0.00224971878515,0.0108104839138,263,2,47/50,0/50
19,0.539281178863,0.0016583747927,0.027134995719,175,2,49/50,0/50
20,0.633100151205,0.0022271714922,0.0169207847604,19,3,49/50,0/50
21,0.603243800707,0.00220264317181,0.0212612325201,171,3,49/50,0/50
22,0.600765423955,0.0020942408377,0.0180292677905,183,3,49/50,0/50
23,0.67468490008,0.0031847133758,0.0186250115352,24,3,50/50,0/50
24,0.653008468258,0.0026075619296,0.0135171148254,181,3,49/50,0/50
25,0.637922444466,0.00274348422497,0.0116024734962,207,4,48/50,0/50
26,0.638519353098,0.00263157894737,0.0134882784807,265,4,49/50,0/50
27,0.525746782889,0.00212539851222,0.0241808401665,16,4,49/50,0/50
28,0.524925086398,0.00215982721382,0.0212579875458,40,4,49/50,0/50
29,0.635285816097,0.00625651720542,0.0130716230882,22,4,50/50,0/50
30,0.656584900076,0.00542740841248,0.019030765966,249,4,50/50,0/50
31,0.554518287979,0.0025974025974,0.0184554688728,143,4,49/50,0/50
32,0.580308087578,0.00215517241379,0.0228405750874,67,4,49/50,0/50
33,0.574495539898,0.00219298245614,0.0202799237606,163,4,49/50,0/50
34,0.558203187365,0.00221729490022,0.0194494061478,193,4,49/50,0/50
35,0.596001958288,0.0026075619296,0.0175892088203,55,4,49/50,0/50
36,0.621208010366,0.00278551532033,0.0150189013241,167,4,49/50,0/50
37,0.606887579697,0.0025974025974,0.0195168559185,79,4,49/50,0/50
38,0.648250841465,0.00467289719626,0.0169227467362,237,4,50/50,0/50
39,0.64381684749,0.00493421052632,0.0143984685461,29,4,50/50,0/50
40,0.625408855793,0.00260416666667,0.0193730300977,269,4,49/50,0/50
41,0.639282932131,0.00312012480499,0.0165109846845,77,4,49/50,0/50
42,0.598959225809,0.0027027027027,0.0151201303876,149,4,49/50,0/50
43,0.648189677713,0.00276625172891,0.0176918931648,235,4,49/50,0/50
44,0.625125943163,0.00268817204301,0.0157942724042,20,4,49/50,0/50
45,0.603542832094,0.0027027027027,0.0153261662708,299,5,49/50,0/50
46,0.555370144682,0.00220750551876,0.0198721723731,241,5,49/50,0/50
47,0.635722574328,0.00315706393054,0.0136484593019,275,5,50/50,0/50
48,0.604640359904,0.00267737617135,0.0154624464275,185,5,49/50,0/50
49,0.470501426459,0.00212539851222,0.0326786747056,111,5,49/50,0/50
