pop_ind,+[MMarrived 1 *],-[HHaccidents],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,876.444444444,0,9.08888888889,645,0,16/50,24/50
1,891.533333333,4,3.42222222222,877,0,11/50,1/50
2,904.422222222,4,3.97777777778,907,0,12/50,1/50
3,885.488888889,0,16.7555555556,1001,0,17/50,24/50
4,894.777777778,2,4.31111111111,1125,0,12/50,7/50
5,871.688888889,0,5.06666666667,1227,0,12/50,23/50
6,889.6,2,4.46666666667,849,0,12/50,7/50
7,893.355555556,2,6.02222222222,1045,1,14/50,7/50
8,904.155555556,4,4.93333333333,863,1,12/50,1/50
9,850.955555556,0,12.6,991,1,17/50,18/50
10,835.911111111,0,11.7777777778,1009,1,17/50,16/50
11,858.688888889,0,16.8444444444,1041,1,18/50,20/50
12,904.4,4,5.53333333333,1051,1,12/50,1/50
13,891.444444444,2,5.06666666667,1215,1,12/50,7/50
14,889.622222222,2,7.62222222222,951,1,14/50,7/50
15,840.666666667,2,6.71111111111,1049,2,14/50,6/50
16,774.355555556,0,33.2,517,2,22/50,7/50
17,891.266666667,4,9.75555555556,923,2,16/50,1/50
18,879.177777778,2,14.0666666667,831,2,18/50,7/50
19,871.288888889,2,13.3333333333,767,3,17/50,7/50
20,854.155555556,4,7.82222222222,737,3,14/50,1/50
21,767.755555556,0,35.2888888889,1073,3,22/50,7/50
22,867.088888889,6,8.73333333333,1115,3,15/50,0/50
23,865.155555556,2,9.53333333333,1217,3,16/50,7/50
24,879.244444444,2,20.6222222222,1229,3,19/50,7/50
25,854.755555556,2,10.9333333333,855,3,16/50,6/50
26,838.444444444,2,10.0666666667,957,4,16/50,6/50
27,870.177777778,2,17.9111111111,1175,4,18/50,7/50
28,875.755555556,4,26.8444444444,1187,4,21/50,1/50
29,760.755555556,0,47.4,1211,4,26/50,5/50
30,851.866666667,2,15.8666666667,663,4,18/50,6/50
31,847.844444444,2,14.5111111111,925,5,18/50,6/50
32,836.044444444,2,10.7111111111,1079,5,16/50,6/50
33,842.644444444,2,14.0,1161,5,18/50,6/50
34,730.533333333,0,62.4,1189,5,32/50,1/50
35,856.422222222,2,25.4666666667,631,5,20/50,7/50
36,861.466666667,4,19.5111111111,1183,5,19/50,1/50
37,652.288888889,0,100.644444444,405,5,38/50,0/50
38,680.866666667,0,112.022222222,535,6,41/50,0/50
39,833.533333333,2,13.8222222222,771,6,17/50,6/50
40,857.111111111,4,28.6,867,6,21/50,1/50
41,854.711111111,4,24.0888888889,1209,6,19/50,1/50
42,670.155555556,0,102.377777778,457,6,39/50,0/50
43,850.933333333,2,22.2888888889,919,6,19/50,6/50
44,847.222222222,2,18.2,997,6,19/50,6/50
45,844.8,2,17.2,1207,6,18/50,6/50
46,856.333333333,2,27.0444444444,911,6,21/50,7/50
47,838.333333333,2,16.8444444444,1221,6,18/50,6/50
48,837.088888889,2,14.4666666667,375,6,18/50,6/50
49,837.622222222,2,16.2444444444,781,7,18/50,6/50
