pop_ind,+[MMarrived],-[HHaccidents],-[MMteleported 1 *],actual_ind,pareto,dominated_0,dominating_0
0,0.597375426872,0.00125313283208,0.0110687029598,127,0,0/50,7/50
1,0.592819114261,0.0,0.01045397236,381,0,0/50,46/50
2,0.571481230902,0.00126582278481,0.00881877070131,441,0,0/50,3/50
3,0.591238424821,0.00125078173859,0.0103173083665,453,0,0/50,6/50
4,0.652585408424,0.00127632418634,0.00651082494306,483,0,0/50,4/50
5,0.600387910318,0.000948766603416,0.0112262213663,489,0,0/50,9/50
6,0.719311436412,0.00246153846154,0.00446926663936,505,0,0/50,0/50
7,0.622468896951,0.00126342387871,0.0101660609521,545,0,0/50,4/50
8,0.600163762922,0.00124843945069,0.0112029751179,561,0,0/50,7/50
9,0.610916534033,0.000940733772342,0.0126350353556,567,1,0/50,14/50
10,0.667369644028,0.00187705302675,0.00814961135302,745,1,0/50,0/50
11,0.650332579525,0.00188323917137,0.00579014799344,757,1,0/50,0/50
12,0.687983744871,0.00250312891114,0.00604480725265,125,1,0/50,0/50
13,0.442711086449,0.00093370681606,0.0258618196395,189,1,34/50,0/50
14,0.453416240112,0.000935453695042,0.0245952807849,253,1,34/50,0/50
15,0.561468280545,0.00125078173859,0.0127598717974,349,1,2/50,6/50
16,0.65108810235,0.00157604412924,0.00904010159972,583,1,0/50,4/50
17,0.493392672883,0.000940291490362,0.0184917668371,587,1,31/50,0/50
18,0.56428039834,0.000944287063267,0.0133924762574,595,1,4/50,9/50
19,0.566153886825,0.00127226463104,0.015084601638,607,2,15/50,3/50
20,0.55121526067,0.00124455507156,0.0123885472046,647,2,1/50,5/50
21,0.641733250101,0.00127713920817,0.00685675393229,661,2,0/50,4/50
22,0.609603606128,0.00127307447486,0.0113422477565,689,2,0/50,4/50
23,0.617761460252,0.00127632418634,0.00969369760665,765,2,0/50,4/50
24,0.650021219005,0.001885902876,0.00736883351903,767,2,0/50,0/50
25,0.548258641167,0.00123228589033,0.0118577077151,781,2,1/50,3/50
26,0.669941124952,0.00315706393054,0.00535152175237,815,2,0/50,0/50
27,0.579490327962,0.00127307447486,0.0118347260023,531,2,1/50,3/50
28,0.590241883763,0.00155279503106,0.00927018271459,217,2,0/50,3/50
29,0.612998501962,0.0015625,0.00825902195014,433,2,0/50,4/50
30,0.57148319992,0.00153374233129,0.0116959592537,135,2,0/50,3/50
31,0.536954041085,0.00094831673779,0.0133963564444,377,2,4/50,1/50
32,0.632922572559,0.00247524752475,0.00963245772598,541,2,0/50,0/50
33,0.666012917299,0.00253807106599,0.00753295189495,471,2,0/50,0/50
34,0.686079221433,0.003125,0.00715581407078,627,2,0/50,0/50
35,0.563564136769,0.00124300807955,0.0147954653689,649,2,11/50,7/50
36,0.6593095919,0.00375469336671,0.00640716676108,673,3,0/50,0/50
37,0.601885889128,0.00155279503106,0.0106814361533,701,3,0/50,4/50
38,0.632347853465,0.00157480314961,0.00953708878624,759,3,0/50,4/50
39,0.607305448214,0.00155520995334,0.0115811817463,803,3,0/50,4/50
40,0.608612365696,0.00156494522692,0.00827024664456,261,3,0/50,4/50
41,0.508800267311,0.000956022944551,0.0160223355619,395,3,26/50,0/50
42,0.636909625504,0.00471698113208,0.0105464953381,405,3,0/50,0/50
43,0.518322442451,0.000948766603416,0.0181718335623,793,3,33/50,0/50
44,0.586302141789,0.0015625,0.0107154804753,303,3,0/50,3/50
45,0.595966896683,0.0015600624025,0.0120426368437,609,3,1/50,4/50
46,0.625231507892,0.00284090909091,0.0104026109911,709,3,0/50,0/50
47,0.562781176489,0.00125628140704,0.0152384296327,787,3,15/50,5/50
48,0.554221831205,0.00127307447486,0.0150743033553,93,3,16/50,2/50
49,0.544263519608,0.0015455950541,0.0127441747602,397,3,3/50,1/50
