pop_ind,+[MMarrived],-[HHaccidents],-[MMteleported 1 *],actual_ind,pareto,dominated_0,dominating_0
0,0.592819114261,0.0,0.01045397236,381,0,0/50,46/50
1,0.631930574846,0.000931098696462,0.00778083702337,963,0,0/50,16/50
2,0.668748749485,0.001261829653,0.00521828880136,1061,0,0/50,5/50
3,0.715320049888,0.0015479876161,0.00489583288665,1217,0,0/50,4/50
4,0.691738697727,0.00124688279302,0.0060579517665,1231,0,0/50,8/50
5,0.668287332936,0.000942951438001,0.00621283997367,1245,0,0/50,14/50
6,0.731199957008,0.0015625,0.00399030252418,1273,0,0/50,4/50
7,0.645432150311,0.00123228589033,0.00601616579195,1289,0,0/50,9/50
8,0.719311436412,0.00246153846154,0.00446926663936,505,0,0/50,0/50
9,0.67116878188,0.00125786163522,0.00670614763203,1201,1,0/50,6/50
10,0.652585408424,0.00127632418634,0.00651082494306,483,1,0/50,4/50
11,0.650332579525,0.00188323917137,0.00579014799344,757,1,0/50,0/50
12,0.653205293451,0.0015612802498,0.00609664230348,841,1,0/50,4/50
13,0.659885013982,0.00190657769304,0.00596662185926,975,1,0/50,0/50
14,0.58083040262,0.000931098696462,0.0112079920343,1107,1,0/50,13/50
15,0.629806595953,0.000940733772342,0.00783412936274,1207,1,0/50,15/50
16,0.684498133475,0.0015625,0.00625967768445,1277,1,0/50,4/50
17,0.687983744871,0.00250312891114,0.00604480725265,125,1,0/50,0/50
18,0.669941124952,0.00315706393054,0.00535152175237,815,1,0/50,0/50
19,0.674225102578,0.00188679245283,0.00771183420861,1269,2,0/50,0/50
20,0.667369644028,0.00187705302675,0.00814961135302,745,2,0/50,0/50
21,0.655911292985,0.00157853196527,0.00917874365566,1177,2,0/50,4/50
22,0.600387910318,0.000948766603416,0.0112262213663,489,2,0/50,9/50
23,0.610916534033,0.000940733772342,0.0126350353556,567,2,0/50,14/50
24,0.627381945763,0.00124146492862,0.00811120345857,871,2,0/50,9/50
25,0.442711086449,0.00093370681606,0.0258618196395,189,2,34/50,0/50
26,0.453416240112,0.000935453695042,0.0245952807849,253,2,34/50,0/50
27,0.521667992177,0.000939408172851,0.0157470589462,943,2,17/50,0/50
28,0.65108810235,0.00157604412924,0.00904010159972,583,2,0/50,4/50
29,0.641733250101,0.00127713920817,0.00685675393229,661,2,0/50,4/50
30,0.650021219005,0.001885902876,0.00736883351903,767,2,0/50,0/50
31,0.64881323292,0.00157480314961,0.00779918522568,863,2,0/50,4/50
32,0.648160234918,0.00156739811912,0.00894680916438,1255,2,0/50,4/50
33,0.686079221433,0.003125,0.00715581407078,627,2,0/50,0/50
34,0.6593095919,0.00375469336671,0.00640716676108,673,2,0/50,0/50
35,0.493392672883,0.000940291490362,0.0184917668371,587,2,31/50,0/50
36,0.535681589597,0.00094831673779,0.0126568515032,839,3,2/50,1/50
37,0.648653273533,0.0025078369906,0.00956047383206,1079,3,0/50,0/50
38,0.666012917299,0.00253807106599,0.00753295189495,471,3,0/50,0/50
39,0.56428039834,0.000944287063267,0.0133924762574,595,3,4/50,9/50
40,0.602870559871,0.00156862745098,0.00807789045713,1249,3,0/50,4/50
41,0.617761460252,0.00127632418634,0.00969369760665,765,3,0/50,4/50
42,0.574390122721,0.00123992560446,0.0120755812865,929,3,1/50,7/50
43,0.548258641167,0.00123228589033,0.0118577077151,781,3,1/50,3/50
44,0.586653662854,0.00127307447486,0.0100216842418,987,3,0/50,3/50
45,0.633142284561,0.00314712824548,0.00688813311813,1279,3,0/50,0/50
46,0.547943365934,0.000941619585687,0.0132142560416,955,3,4/50,4/50
47,0.597375426872,0.00125313283208,0.0110687029598,127,3,0/50,7/50
48,0.591238424821,0.00125078173859,0.0103173083665,453,3,0/50,6/50
49,0.624919017921,0.00282220131703,0.00729277532339,1235,3,0/50,0/50
