pop_ind,+[MMarrived 1 *],-[HHaccidents],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,830.755555556,2,31.5111111111,147,0,22/50,6/50
1,756.244444444,2,54.7777777778,139,0,30/50,2/50
2,766.933333333,4,50.6,197,0,27/50,1/50
3,764.066666667,4,57.3555555556,217,0,30/50,1/50
4,720.066666667,2,69.6222222222,273,0,34/50,0/50
5,716.377777778,2,95.9555555556,109,0,39/50,0/50
6,707.844444444,2,75.8444444444,247,0,35/50,0/50
7,731.688888889,4,64.3777777778,185,1,32/50,0/50
8,697.044444444,2,80.2,30,1,37/50,0/50
9,699.044444444,2,86.1777777778,183,1,37/50,0/50
10,727.955555556,4,76.0444444444,271,1,35/50,0/50
11,711.511111111,2,121.0,287,1,46/50,0/50
12,709.0,2,104.288888889,299,1,43/50,0/50
13,688.088888889,2,83.3555555556,209,1,37/50,0/50
14,697.133333333,2,104.244444444,227,1,43/50,0/50
15,711.022222222,4,80.0,269,2,37/50,0/50
16,708.511111111,2,112.933333333,307,2,45/50,0/50
17,698.244444444,2,122.577777778,285,2,46/50,0/50
18,710.533333333,4,98.6222222222,213,2,40/50,0/50
19,653.8,4,97.1777777778,19,3,39/50,0/50
20,638.466666667,2,95.7777777778,167,3,39/50,0/50
21,692.888888889,2,107.866666667,305,3,44/50,0/50
22,684.244444444,2,122.466666667,263,3,46/50,0/50
23,707.333333333,4,114.133333333,177,3,45/50,0/50
24,626.2,2,101.311111111,249,3,42/50,0/50
25,681.933333333,2,108.244444444,295,3,44/50,0/50
26,640.377777778,2,129.0,207,4,46/50,0/50
27,670.355555556,2,140.155555556,221,4,48/50,0/50
28,633.422222222,2,123.844444444,259,4,46/50,0/50
29,669.155555556,4,109.866666667,265,4,44/50,0/50
30,699.244444444,4,123.777777778,231,4,47/50,0/50
31,640.333333333,2,132.8,59,5,46/50,0/50
32,624.155555556,4,130.622222222,237,5,47/50,0/50
33,654.822222222,4,132.6,297,5,47/50,0/50
34,651.866666667,4,145.422222222,143,5,49/50,0/50
35,650.444444444,4,142.333333333,157,5,49/50,0/50
36,639.688888889,2,157.177777778,233,5,48/50,0/50
37,621.755555556,4,134.311111111,123,5,47/50,0/50
38,630.155555556,2,147.711111111,291,6,48/50,0/50
39,584.511111111,2,151.644444444,21,6,48/50,0/50
40,647.933333333,4,147.488888889,105,6,49/50,0/50
41,637.977777778,2,162.733333333,215,6,49/50,0/50
42,637.822222222,2,157.733333333,253,6,48/50,0/50
43,597.022222222,4,139.711111111,243,6,49/50,0/50
44,584.133333333,2,152.111111111,283,6,48/50,0/50
45,638.177777778,4,151.288888889,65,6,49/50,0/50
46,621.777777778,6,150.711111111,205,6,49/50,0/50
47,602.666666667,2,159.355555556,165,6,48/50,0/50
48,609.377777778,2,168.755555556,223,6,49/50,0/50
49,617.444444444,2,197.955555556,267,7,49/50,0/50
