pop_ind,+[MMarrived 1 *],-[HHaccidents],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,876.444444444,0,9.08888888889,645,0,16/50,24/50
1,854.155555556,4,7.82222222222,737,0,14/50,1/50
2,774.355555556,0,33.2,517,0,22/50,7/50
3,871.288888889,2,13.3333333333,767,0,17/50,7/50
4,837.088888889,2,14.4666666667,375,0,18/50,6/50
5,856.422222222,2,25.4666666667,631,0,20/50,7/50
6,851.866666667,2,15.8666666667,663,0,18/50,6/50
7,652.288888889,0,100.644444444,405,1,38/50,0/50
8,670.155555556,0,102.377777778,457,1,39/50,0/50
9,680.866666667,0,112.022222222,535,1,41/50,0/50
10,833.533333333,2,13.8222222222,771,1,17/50,6/50
11,843.933333333,2,25.1555555556,649,1,20/50,6/50
12,838.244444444,2,17.8222222222,651,1,18/50,6/50
13,828.288888889,2,17.2444444444,705,1,18/50,6/50
14,795.311111111,2,19.8888888889,467,1,19/50,4/50
15,836.844444444,2,23.1111111111,641,2,19/50,6/50
16,835.511111111,2,21.6,699,2,19/50,6/50
17,825.866666667,2,22.7555555556,669,2,19/50,4/50
18,830.755555556,2,31.5111111111,147,2,22/50,6/50
19,795.155555556,4,20.2,537,3,19/50,1/50
20,799.0,2,28.0888888889,313,3,21/50,4/50
21,813.288888889,4,24.8888888889,617,3,20/50,1/50
22,811.2,2,28.7555555556,691,3,21/50,4/50
23,801.488888889,2,31.7777777778,469,3,22/50,4/50
24,776.333333333,4,26.9111111111,577,3,21/50,1/50
25,802.266666667,4,40.3777777778,697,3,25/50,1/50
26,800.866666667,2,31.4222222222,773,4,22/50,4/50
27,795.311111111,2,33.3777777778,557,4,22/50,4/50
28,799.866666667,2,36.3555555556,615,4,23/50,4/50
29,776.288888889,2,32.3777777778,695,4,22/50,3/50
30,799.066666667,2,57.7333333333,401,4,30/50,4/50
31,790.244444444,2,43.4,319,5,25/50,4/50
32,753.822222222,4,34.0222222222,555,5,22/50,0/50
33,766.266666667,2,36.7111111111,621,5,23/50,3/50
34,763.333333333,2,40.0,367,5,25/50,3/50
35,771.088888889,4,50.0,335,5,27/50,1/50
36,767.777777778,2,50.6444444444,623,5,27/50,3/50
37,781.666666667,2,51.9111111111,635,5,29/50,3/50
38,788.288888889,2,57.7777777778,643,6,30/50,4/50
39,786.8,4,50.0888888889,729,6,27/50,1/50
40,781.288888889,2,71.4444444444,371,6,34/50,3/50
41,762.511111111,2,55.4888888889,349,6,30/50,3/50
42,758.133333333,2,45.8222222222,365,6,25/50,2/50
43,761.4,2,45.9111111111,477,6,25/50,3/50
44,728.933333333,2,44.0666666667,563,6,25/50,1/50
45,766.933333333,4,50.6,197,6,27/50,1/50
46,787.466666667,4,68.8888888889,661,6,34/50,1/50
47,747.977777778,2,46.9111111111,459,6,26/50,2/50
48,764.066666667,4,57.3555555556,217,6,30/50,1/50
49,760.333333333,2,52.3777777778,751,7,29/50,3/50
