pop_ind,+[MMarrived],-[HHaccidents 20 *],-[MMteleported],actual_ind,pareto,dominated_0,dominating_0
0,0.557147978958,0.0313971742543,0.0111001977384,22,0,0/50,2/50
1,0.56511262496,0.0314218381775,0.0131060217068,40,0,5/50,3/50
2,0.575961273232,0.0317965023847,0.0107628210081,199,0,0/50,3/50
3,0.597758930035,0.0380047505938,0.012186624015,205,0,1/50,0/50
4,0.586877616144,0.0375234521576,0.0123561702103,249,0,1/50,0/50
5,0.549962839552,0.0189573459716,0.0120684498651,255,0,1/50,5/50
6,0.576947302978,0.0249376558603,0.0143486411671,257,0,7/50,6/50
7,0.43809060157,0.0246305418719,0.0226611265526,30,0,41/50,0/50
8,0.415482834883,0.0189753320683,0.025325714038,83,0,40/50,0/50
9,0.528503921529,0.0249376558603,0.0163209181295,183,0,27/50,0/50
10,0.529646596629,0.0251889168766,0.0150449647017,191,0,15/50,0/50
11,0.588179922195,0.0933852140078,0.0136101782623,23,0,5/50,0/50
12,0.554660547441,0.0377536573856,0.0135826176724,47,0,7/50,0/50
13,0.550645668382,0.0315706393054,0.0121620579688,71,0,2/50,2/50
14,0.530786287071,0.0314218381775,0.0165767751689,209,0,29/50,0/50
15,0.537131139186,0.0315457413249,0.0140294821875,239,1,8/50,1/50
16,0.587015776212,0.061115355233,0.0123499285413,259,1,1/50,0/50
17,0.52308303156,0.0253485424588,0.016977041854,39,1,30/50,0/50
18,0.484836796878,0.0250156347717,0.0186028481997,51,1,38/50,0/50
19,0.515011767806,0.0251889168766,0.0170729223213,79,1,31/50,0/50
20,0.514677159163,0.0251889168766,0.0166874801711,89,1,29/50,0/50
21,0.45081801351,0.0249376558603,0.0230639874595,127,1,42/50,0/50
22,0.415102936663,0.0246609124538,0.0282572706233,48,1,41/50,0/50
23,0.571016009827,0.062893081761,0.0132221359479,225,1,5/50,0/50
24,0.540587401489,0.0317965023847,0.0172742418354,93,1,34/50,1/50
25,0.536194698533,0.0379326695116,0.0133149559283,165,1,5/50,0/50
26,0.520168033955,0.0317208564631,0.0151811708164,201,1,17/50,0/50
27,0.54940699385,0.0318725099602,0.0143159796203,211,1,10/50,1/50
28,0.536987087674,0.0315706393054,0.0169832830043,221,1,30/50,1/50
29,0.506510474487,0.0315457413249,0.014942671654,263,1,14/50,0/50
30,0.504974440889,0.0308404009252,0.0180846755926,36,1,39/50,0/50
31,0.510580330049,0.0312256049961,0.019621155135,59,1,44/50,0/50
32,0.473730562666,0.0312012480499,0.0176157101528,81,1,37/50,0/50
33,0.477985833697,0.0250469630557,0.0190597964814,105,1,39/50,0/50
34,0.522790932778,0.0313234142522,0.0171213046347,137,1,32/50,0/50
35,0.545395174315,0.0742115027829,0.0138878429501,169,1,8/50,0/50
36,0.416111951752,0.0249376558603,0.0250013425377,231,2,42/50,0/50
37,0.527467892882,0.0376647834275,0.0156713215004,20,2,21/50,0/50
38,0.52406845512,0.03726129483,0.0160014245165,153,2,28/50,0/50
39,0.529991681713,0.0620636152056,0.0140988370058,87,2,9/50,0/50
40,0.529486392673,0.0563909774436,0.0140873369748,107,2,9/50,0/50
41,0.506552890266,0.0563115908024,0.0153965531354,193,2,20/50,0/50
42,0.504858162911,0.0372266170312,0.0156745974472,197,2,20/50,0/50
43,0.536692965855,0.0627450980392,0.0147445929064,207,2,13/50,0/50
44,0.548591099541,0.0499687695191,0.0156488879026,213,2,21/50,0/50
45,0.496685788272,0.0311769290725,0.0177134781719,261,2,38/50,0/50
46,0.488971726212,0.0311284046693,0.0179048144374,269,2,39/50,0/50
47,0.44167344752,0.0250469630557,0.0265939362001,57,2,42/50,0/50
48,0.525779400543,0.0634920634921,0.0151911192474,217,2,18/50,0/50
49,0.526686079087,0.0377002827521,0.0158081823691,265,2,25/50,0/50
